,Message
4819,"Dear Guest, Thanks for choosing Hooters. Order ID 1475. Delivery by 2009-09-16 1:15. Enjoy 15% discount on your next purchase. Code TZN0PA. T&C."
4820,"PNR:4831231127,TRAIN:27434,DOJ:2014-11-14,AC3,AGC-BXLL,Dep:17:18, Clayton,B7 32 , Fare:6809,SC:10.0+PG+INS"
4821,"Repair ref.no for your car is JC71635325 opened on 2013-04-04 6:25hrs,ETD of your car is 2013-04-05 2:48hrs and est.repair amt is Rs.841 Rgds, Sarden Auto Agency"
4822,The PNR for your INDIGO Flt 5J448 for SUN-SLV on 2013-11-24 at 13:50 hrs  is C5JY9B. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4823,Bimal Auto Agency : Service of your car KA62D5131 is due in 15 days on 2014-03-19. Please contact us at 9875557382 to book a service.
4824,"DEAR Kaleb, THANK YOU FOR YOUR BOOKING (ORDER ID: 46665), YOUR ORDER HAS BEEN ASSIGNED TO Griffin(9126563617) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2010-11-29 at 0:16. FOR ASSISTANCE WHATSAPP US ON 8661722777."
4825,Appointment with Dr Ethan in Hubli on 2011-02-20 at 2:14 is confirmed. For queries call 1800 7266 7185. Your appt. might get delayed in case the doctor is attending an emergency.
4826,"Welcome to Santa 's Land R.No. 156, 359 Ch.In 2009-11-11 12:45 Ch.out 2009-12-02 12:00."
4827,"[alterego cafe] Hi Aaron, your reservation is confirmed for 24 people on 2011-03-19 at 5:21. We can hold your table for a maximum of 41 mins."
4828,"Dear Guest, Thanks for choosing Roadster diner. Order ID 5576. Delivery by 2009-09-16 11:36. Enjoy 5% discount on your next purchase. Code PQ0V5U. T&C."
4829,"* KSRTC m-Ticket *  from: CHIKKAMAGALURU to: Mangaluru PsngrName: Preston TripCode: 1850CHIMan PNR No.: J15712733 JnyDate: 2011-03-16 DepTime: 18:50  SeatNo.: 1, 3, 6, 33, 40, 42, 21, 23  Class: Non-AC Sleeper  BoardingPt: CHIKKAMAGALURU Residency Road Txn Password: 7163 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4830,Bill dated 2014-01-20 for Rs 246 has been generated for your Jio fixedline/broadband relationship no. 75552453. The same will reach you by 2014-01-23. Due date: 2014-02-04.
4831,"DEAR Gavin, THANK YOU FOR YOUR BOOKING (ORDER ID: 58672), YOUR ORDER HAS BEEN ASSIGNED TO Martin(9528125586) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2012-06-22 at 20:36. FOR ASSISTANCE WHATSAPP US ON 8558147361."
4832,"Thank you for choosing taxiforsure for 2010-12-07 at 4:55. Cab:KA17K2426 , Chauffer: Jonathan, Cell: 9757733331 will reach you. T&C apply, visit www.taxiforsure.com"
4833,"Dear Guest, Thanks for choosing Kullman Dining Car Company. Order ID 1131. Delivery by 2014-11-21 3:57. Enjoy 4% discount on your next purchase. Code VZ1A05. T&C."
4834,Aryan Auto Agency : Service of your car KA15Y4564 is due in 58 days on 2013-06-15. Please contact us at 9754782561 to book a service.
4835,"Repair ref.no for your car is JC57774165 opened on 2010-01-16 8:28hrs,ETD of your car is 2010-01-17 3:54hrs and est.repair amt is Rs.1259 Rgds, Aryan Auto Agency"
4836,"Hi Customer, Booking ID: WQMTL8S. Seats: GOLD-B5,B6,B7,B8, 4 seat(s) for Sully on 2012-08-28 8:12 at Rex Theatre: Brigade Road. Please carry your CC/DC card which was used for booking tickets."
4837,"Repair ref.no for your car is JC38432426 opened on 2012-01-18 19:45hrs,ETD of your car is 2012-01-19 8:36hrs and est.repair amt is Rs.591 Rgds, Sarden Auto Agency"
4838,The PNR for your INDIGO Flt 1L171 for TRZ-TEZ on 2011-09-19 at 5:28 hrs  is H57MCZ. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4839,"Thank you for choosing Meru for 2011-06-29 at 16:52. Cab:KA18U1147 , Chauffer: Samuel, Cell: 9465724141 will reach you. T&C apply, visit www.Meru.com"
4840,Lakshmi Auto Agency : Service of your car KA18P5145 is due in 64 days on 2015-04-27. Please contact us at 9287271828 to book a service.
4841,"* KSRTC m-Ticket *  from: AGUMBE to: DAVANEGERE PsngrName: Nolan TripCode: 950AGUDAV PNR No.: J44770981 JnyDate: 2015-06-01 DepTime: 9:50  SeatNo.: 1, 43, 36, 7, 10, 39, 15, 48, 20, 27  Class: AC chair  BoardingPt: AGUMBE Rly Station Txn Password: 4255 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4842,Appointment with Dr Shawn in PAYYANUR on 2011-07-09 at 11:20 is confirmed. For queries call 1800 2143 5533. Your appt. might get delayed in case the doctor is attending an emergency.
4843,"Hi Customer, Booking ID: WOQRP5Y. Seats: GOLD-A7,A8,A9,A10,A11, 5 seat(s) for The Legend of Tarzan on 2012-10-18 7:12 at INOX: Forum Neighbourhood Mall, Whitefield. Please carry your CC/DC card which was used for booking tickets."
4844,"* KSRTC m-Ticket *  from: SRIHARIKOTA to: Dharmastala PsngrName: Nathan TripCode: 1819SRIDha PNR No.: J39643238 JnyDate: 2011-06-26 DepTime: 18:19  SeatNo.: 37, 41, 13, 26, 28, 31  Class: AC chair  BoardingPt: SRIHARIKOTA MG Road Txn Password: 5881 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4845,"Welcome to P. F. Chang 's China Bistro R.No. 154, 551 Ch.In 2010-06-27 20:31 Ch.out 2010-07-06 12:00."
4846,Welcome to NATIONAL CONSUMER COOP BK R.No. 106 Ch.In 2009-09-13 21:27 Ch.out 2009-09-14 12:00.
4847,"DEAR Victor, THANK YOU FOR YOUR BOOKING (ORDER ID: 62165), YOUR ORDER HAS BEEN ASSIGNED TO Jaxon(9627242341) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2013-01-15 at 7:50. FOR ASSISTANCE WHATSAPP US ON 8241251633."
4848,"Thank you for choosing taxiforsure for 2010-02-15 at 12:51. Cab:KA36Q3583 , Chauffer: Dakota, Cell: 9442131627 will reach you. T&C apply, visit www.taxiforsure.com"
4849,"Thank you for choosing Meru for 2010-09-24 at 2:12. Cab:KA23V6777 , Chauffer: Austin, Cell: 9537437146 will reach you. T&C apply, visit www.Meru.com"
4850,"Dear Guest, Thanks for choosing Vuli Restaurant. Order ID 3154. Delivery by 2012-08-13 10:55. Enjoy 25% discount on your next purchase. Code ITZQOI. T&C."
4851,"* KSRTC m-Ticket *  from: Shirdi to: Belagavi PsngrName: Owen TripCode: 631ShiBel PNR No.: J90190261 JnyDate: 2012-07-28 DepTime: 6:31  SeatNo.: 5, 7, 44, 46, 20, 53, 24, 30  Class: AC chair  BoardingPt: Shirdi Rly Station Txn Password: 1134 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4852,Bill dated 2010-04-29 for Rs 142 has been generated for your Jio fixedline/broadband relationship no. 78252613. The same will reach you by 2010-05-02. Due date: 2010-05-14.
4853,Aryan Auto Agency : Service of your car KA33F7666 is due in 11 days on 2011-08-04. Please contact us at 9618554434 to book a service.
4854,"Welcome to Los Angeles International Airport R.No. 500, 375 Ch.In 2012-06-28 15:26 Ch.out 2012-07-21 12:00."
4855,"Welcome to Fort Fisher R.No. 272, 235, 324 Ch.In 2009-11-09 10:56 Ch.out 2009-11-27 12:00."
4856,The PNR for your SPICE JET Flt 4Y553 for JLR-RPR on 2009-12-16 at 18:14 hrs  is K78WKE. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4857,Bill dated 2012-04-28 for Rs 887 has been generated for your Jio fixedline/broadband relationship no. 83786864. The same will reach you by 2012-05-01. Due date: 2012-05-13.
4858,Appointment with Dr Levi in Coimbatore on 2012-08-30 at 21:50 is confirmed. For queries call 1800 2153 5532. Your appt. might get delayed in case the doctor is attending an emergency.
4859,"Dear Guest, Thanks for choosing Jerry O'Mahony Diner Company. Order ID 7316. Delivery by 2014-08-08 9:39. Enjoy 11% discount on your next purchase. Code XMV1O9. T&C."
4860,Maha Veer Auto Agency : Service of your car KA31M5871 is due in 16 days on 2014-04-05. Please contact us at 9441362568 to book a service.
4861,The PNR for your INDIGO Flt 1C844 for LDA-UDR on 2012-12-06 at 0:37 hrs  is MOCPK1. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4862,"Welcome to Indu HP R.No. 128, 378, 315 Ch.In 2012-05-10 17:57 Ch.out 2012-05-31 12:00."
4863,"Hi Customer, Booking ID: W4NTY7E. Seats: PLATINUM-B3, 1 seat(s) for 10 Cloverfield Lane on 2013-06-28 13:33 at Cinepolis: Orion East Mall, Banaswadi. Please carry your CC/DC card which was used for booking tickets."
4864,Bill dated 2013-06-18 for Rs 204 has been generated for your Airtel fixedline/broadband relationship no. 15571513. The same will reach you by 2013-06-21. Due date: 2013-07-03.
4865,"Welcome to GOLDEN BK NA R.No. 152, 485, 327 Ch.In 2012-01-25 16:17 Ch.out 2012-02-06 12:00."
4866,"[Cook Door] Hi Isaiah, your reservation is confirmed for 10 people on 2015-08-14 at 13:39. We can hold your table for a maximum of 43 mins."
4867,The PNR for your SPICE JET Flt 3K738 for GAY-RJA on 2009-10-18 at 7:57 hrs  is R6917W. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4868,"* KSRTC m-Ticket *  from: KARAIKUDI to: SRIHARIKOTA PsngrName: Eric TripCode: 1154KARSRI PNR No.: J57853815 JnyDate: 2012-02-01 DepTime: 11:54  SeatNo.: 43, 55  Class: AC Sleeper  BoardingPt: KARAIKUDI Rly Station Txn Password: 2465 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4869,"Repair ref.no for your car is JC86123447 opened on 2013-08-11 11:27hrs,ETD of your car is 2013-08-12 16:58hrs and est.repair amt is Rs.2976 Rgds, Hyundai Auto Agency"
4870,"[John Brown Smokehouse] Hi Trenton, your reservation is confirmed for 11 people on 2012-02-13 at 9:40. We can hold your table for a maximum of 32 mins."
4871,"* KSRTC m-Ticket *  from: Tirupathi to: Shivamogga PsngrName: Thomas TripCode: 1230TirShi PNR No.: J86098298 JnyDate: 2011-04-05 DepTime: 12:30  SeatNo.: 2, 3, 8, 41, 49, 54, 25  Class: Non-AC chair  BoardingPt: Tirupathi Rly Station Txn Password: 7784 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4872,"Dear Guest, Thanks for choosing bennigan 's. Order ID 2416. Delivery by 2013-10-02 11:13. Enjoy 4% discount on your next purchase. Code QETJF5. T&C."
4873,Bimal Auto Agency : Service of your car KA44B8756 is due in 78 days on 2015-02-07. Please contact us at 9723426411 to book a service.
4874,"Thank you for choosing radiocabs for 2010-10-03 at 11:57. Cab:KA48N1583 , Chauffer: Damien, Cell: 9468166478 will reach you. T&C apply, visit www.radiocabs.com"
4875,True Value : Service of your car KA56N4786 is due in 65 days on 2014-10-06. Please contact us at 9262743248 to book a service.
4876,"Dear Guest, Thanks for choosing dominoz outlets. Order ID 6131. Delivery by 2009-12-30 10:55. Enjoy 21% discount on your next purchase. Code S2SRH7. T&C."
4877,Welcome to Walsh College R.No. 119 Ch.In 2010-03-26 1:57 Ch.out 2010-04-03 12:00.
4878,"* KSRTC m-Ticket *  from: Mysuru to: KOTTAYAM PsngrName: Preston TripCode: 721MysKOT PNR No.: J89297517 JnyDate: 2014-11-11 DepTime: 7:21  SeatNo.: 40, 42, 10, 52, 53, 24, 26, 27, 58  Class: Non-AC Sleeper  BoardingPt: Mysuru Residency Road Txn Password: 6255 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4879,"Hi Customer, Booking ID: WJ0DIMW. Seats: GOLD-M8,M9,M10, 3 seat(s) for Sausage Party on 2010-06-08 20:31 at Cinepolis: Binnypet Mall. Please carry your CC/DC card which was used for booking tickets."
4880,Maha Veer Auto Agency : Service of your car KA14R8235 is due in 75 days on 2009-12-09. Please contact us at 9232768513 to book a service.
4881,"Repair ref.no for your car is JC15337278 opened on 2013-05-14 13:11hrs,ETD of your car is 2013-05-15 9:54hrs and est.repair amt is Rs.401 Rgds, Lakshmi Auto Agency"
4882,"Welcome to NCAL BC R.No. 448, 501, 118, 199 Ch.In 2012-04-04 14:53 Ch.out 2012-04-25 12:00."
4883,Lakshmi Auto Agency : Service of your car KA86G2672 is due in 82 days on 2015-05-24. Please contact us at 9548162721 to book a service.
4884,"Welcome to Plateaus of Yellowstone National Park R.No. 144, 561, 176, 151 Ch.In 2009-08-31 10:49 Ch.out 2009-09-09 12:00."
4885,"* KSRTC m-Ticket *  from: KANNUR to: SAGAR PsngrName: Rafael TripCode: 1156KANSAG PNR No.: J38820438 JnyDate: 2014-09-11 DepTime: 11:56  SeatNo.: 32, 49, 9, 46, 17, 18, 22, 31  Class: Non-AC chair  BoardingPt: KANNUR MG Road Txn Password: 3281 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4886,"DEAR Logan, THANK YOU FOR YOUR BOOKING (ORDER ID: 22885), YOUR ORDER HAS BEEN ASSIGNED TO Calvin(9225585754) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2010-04-08 at 18:56. FOR ASSISTANCE WHATSAPP US ON 8622212845."
4887,Lakshmi Auto Agency : Service of your car KA13H1467 is due in 64 days on 2013-06-13. Please contact us at 9555471785 to book a service.
4888,Bill dated 2015-03-28 for Rs 900 has been generated for your Jio fixedline/broadband relationship no. 11468238. The same will reach you by 2015-03-31. Due date: 2015-04-12.
4889,"Repair ref.no for your car is JC16387772 opened on 2010-12-27 13:26hrs,ETD of your car is 2010-12-28 11:56hrs and est.repair amt is Rs.864 Rgds, Sarden Auto Agency"
4890,The PNR for your JET Airways Flt 2D326 for COK-RJA on 2011-03-26 at 17:12 hrs  is N93XZ5. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4891,Appointment with Dr Parker in COONUR on 2012-06-08 at 4:47 is confirmed. For queries call 1800 5153 6223. Your appt. might get delayed in case the doctor is attending an emergency.
4892,"[Holiday Inn] Hi Dominic, your reservation is confirmed for 10 people on 2015-08-10 at 7:33. We can hold your table for a maximum of 5 mins."
4893,"Thank you for choosing taxiforsure for 2015-05-06 at 23:32. Cab:KA75B5248 , Chauffer: Jason, Cell: 9632622853 will reach you. T&C apply, visit www.taxiforsure.com"
4894,"Repair ref.no for your car is JC51312531 opened on 2010-10-10 14:34hrs,ETD of your car is 2010-10-11 1:23hrs and est.repair amt is Rs.2590 Rgds, Aryan Auto Agency"
4895,"Hi Customer, Booking ID: WAQ7EUM. Seats: STANDARD-J12,J13,J14,J15,J16, 5 seat(s) for Now You See Me 2 on 2010-04-29 7:53 at Innovative Multiplex: Marathahalli. Please carry your CC/DC card which was used for booking tickets."
4896,The PNR for your Air India Flt 6S634 for LDA-JAI on 2010-02-10 at 10:53 hrs  is N979YY. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4897,The PNR for your AirAsia Flt 7Q347 for BHO-SXV on 2014-04-25 at 20:51 hrs  is DXDA3Q. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4898,"DEAR Bryce, THANK YOU FOR YOUR BOOKING (ORDER ID: 56267), YOUR ORDER HAS BEEN ASSIGNED TO Damian(9347182453) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2012-10-22 at 13:21. FOR ASSISTANCE WHATSAPP US ON 8552583442."
4899,"Thank you for choosing Uber for 2013-11-23 at 1:17. Cab:KA64R5425 , Chauffer: Miles, Cell: 9733433888 will reach you. T&C apply, visit www.Uber.com"
4900,Appointment with Dr Jorge in DAVANEGERE on 2012-01-15 at 12:16 is confirmed. For queries call 1800 4341 5162. Your appt. might get delayed in case the doctor is attending an emergency.
4901,Appointment with Dr Timothy in Ernakulam on 2013-09-20 at 3:56 is confirmed. For queries call 1800 5377 3674. Your appt. might get delayed in case the doctor is attending an emergency.
4902,"Hi Customer, Booking ID: W0ZYZ4Y. Seats: GOLD-M10,M11,M12,M13,M14,M15,M16, 7 seat(s) for Boo! A Madea Halloween on 2010-08-27 19:49 at The Cinema GT World: Magadi Rd, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
4903,"* KSRTC m-Ticket *  from: Thiruvananthapuram to: PONDICHERRY PsngrName: Samuel TripCode: 1047ThiPON PNR No.: J76639850 JnyDate: 2009-09-29 DepTime: 10:47  SeatNo.: 9, 2, 39, 21, 15  Class: Non-AC chair  BoardingPt: Thiruvananthapuram Bus Stand Road Txn Password: 5414 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4904,"Hi Customer, Booking ID: WOJU4QU. Seats: STANDARD-H11,H12,H13,H14,H15,H16,H17,H18, 8 seat(s) for 10 Cloverfield Lane on 2010-07-24 1:21 at Cinepolis: Binnypet Mall. Please carry your CC/DC card which was used for booking tickets."
4905,Maha Veer Auto Agency : Service of your car KA37X4135 is due in 86 days on 2013-07-04. Please contact us at 9684688178 to book a service.
4906,"Dear Guest, Thanks for choosing Creole Kosher Kitchen. Order ID 5815. Delivery by 2011-08-10 4:18. Enjoy 10% discount on your next purchase. Code NF2AIC. T&C."
4907,"Repair ref.no for your car is JC33774358 opened on 2014-10-08 14:40hrs,ETD of your car is 2014-10-09 2:37hrs and est.repair amt is Rs.1575 Rgds, Aryan Auto Agency"
4908,"Thank you for choosing Meru for 2011-06-13 at 19:54. Cab:KA25D3631 , Chauffer: Raul, Cell: 9543328384 will reach you. T&C apply, visit www.Meru.com"
4909,"[Harry 's Cafe de Wheels] Hi Seth, your reservation is confirmed for 12 people on 2013-10-25 at 20:52. We can hold your table for a maximum of 26 mins."
4910,"Thank you for choosing Meru for 2009-09-14 at 0:27. Cab:KA83P5424 , Chauffer: Timothy, Cell: 9757211581 will reach you. T&C apply, visit www.Meru.com"
4911,"Welcome to Franklin Park Zoo R.No. 109, 261 Ch.In 2012-03-24 14:35 Ch.out 2012-03-26 12:00."
4912,* KSRTC m-Ticket *  from: Shivamogga to: Tirupathi PsngrName: Taylor TripCode: 2043ShiTir PNR No.: J77078894 JnyDate: 2011-05-05 DepTime: 20:43  SeatNo.: 55  Class: AC chair  BoardingPt: Shivamogga Rly Station Txn Password: 5841 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
4913,"Welcome to Eden Falls R.No. 220, 214, 103 Ch.In 2013-07-25 22:54 Ch.out 2013-08-06 12:00."
4914,"Repair ref.no for your car is JC83724416 opened on 2010-11-09 16:20hrs,ETD of your car is 2010-11-10 9:36hrs and est.repair amt is Rs.542 Rgds, Sarden Auto Agency"
4915,Bill dated 2010-09-02 for Rs 364 has been generated for your Bsnl fixedline/broadband relationship no. 34377262. The same will reach you by 2010-09-05. Due date: 2010-09-17.
4916,"Thank you for choosing radiocabs for 2011-11-09 at 11:36. Cab:KA68U8153 , Chauffer: Erick, Cell: 9161328134 will reach you. T&C apply, visit www.radiocabs.com"
4917,The PNR for your AirAsia Flt 4D461 for SUN-AMD on 2013-08-27 at 12:23 hrs  is YBUMLU. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
4918,"* KSRTC m-Ticket *  from: COONUR to: Shirdi PsngrName: Jake TripCode: 2151COOShi PNR No.: J54604373 JnyDate: 2015-01-19 DepTime: 21:51  SeatNo.: 34, 47  Class: Non-AC chair  BoardingPt: COONUR Bus Stand Road Txn Password: 1657 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
4919,"Dear Guest, Thanks for choosing Jensen 's Bofhus. Order ID 4766. Delivery by 2010-09-10 4:27. Enjoy 25% discount on your next purchase. Code ZU9IUZ. T&C."
4920,"Dear Guest, Thanks for choosing Mecca Espresso. Order ID 5463. Delivery by 2014-08-22 7:51. Enjoy 2% discount on your next purchase. Code C2VYJG. T&C."
4921,"DEAR Lucas, THANK YOU FOR YOUR BOOKING (ORDER ID: 72736), YOUR ORDER HAS BEEN ASSIGNED TO Cristian(9611334575) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2013-08-27 at 8:51. FOR ASSISTANCE WHATSAPP US ON 8663647545."
4922,"Hi Customer, Booking ID: W0G4WLS. Seats: PLATINUM-G11, 1 seat(s) for Star Trek Beyond on 2013-12-31 1:15 at Gopalan Cinemas: Arcade Mall, Mysore Road. Please carry your CC/DC card which was used for booking tickets."
